host,ip,port
192.9.146.115:8000,192.9.146.115,8000
117.90.220.115:8000,117.90.220.115,8000
101.64.138.244:8000,101.64.138.244,8000
183.158.168.87:10000,183.158.168.87,10000
182.139.80.113:8000,182.139.80.113,8000
183.185.71.252:8000,183.185.71.252,8000
115.58.129.210:34567,115.58.129.210,34567
27.42.75.153:8000,27.42.75.153,8000
111.166.26.152:18080,111.166.26.152,18080
61.240.39.207:8000,61.240.39.207,8000
59.39.196.163:8000,59.39.196.163,8000
183.158.173.236:10000,183.158.173.236,10000
175.163.114.47:32770,175.163.114.47,32770
101.68.112.100:10002,101.68.112.100,10002
106.59.235.35:49153,106.59.235.35,49153
183.158.173.236:10002,183.158.173.236,10002
183.158.173.236:10001,183.158.173.236,10001
116.148.81.126:60001,116.148.81.126,60001
119.100.147.137:8010,119.100.147.137,8010
117.90.231.39:8000,117.90.231.39,8000
60.24.247.214:89,60.24.247.214,89
125.113.249.217:8001,125.113.249.217,8001
